Id,Nom,Description,Portions,Portions unité,Difficulté,Coût,Régime,Catégorie,Préparation,Cuisson,Jour,Ingrédients,Instructions,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)","Protéines, N x 6.25 (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),Beta-Carotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K1 (µg/100 g),Vitamine K2 (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g),Image
10,Salade de quinoa aux légumes d'été,"Une salade rafraîchissante et nutritive, parfaite pour un déjeuner léger ou en accompagnement lors des mois chauds.",2,personnes,2,2,Méthode ami,Déjeuner,20,20,4,"100 gramme Quinoa
1 Courgette, coupée en dés
1 Poivron rouge, coupé en dés
0.5 Concombre, coupé en dés
1 Tomate, coupée en dés
0.25 tasse Pois chiches, cuits
1 part Vinaigrette, mélange d'huile d'olive, jus de citron, sel, et poivre","Cuisez le quinoa 3 minutes en menu riz mode 2 couvercle fermé, 1 mesure de quinoa pour 1.5 mesure d’eau, puis laissez-le refroidir.
Dans un grand saladier, mélangez le quinoa refroidi avec les légumes coupés et les pois chiches.
Préparez la vinaigrette en mélangeant l'huile d'olive, le jus de citron, le sel, et le poivre.
Versez la vinaigrette sur la salade et mélangez bien avant de servir.",914.77,217.16,911.77,216.66,365.05,9.632500000000002,9.8025,33.075,6.8795,9.181000000000001,4.677499999999999,0.05,3.736000000000001,0.3150000000000001,0.3225,0.8834999999999998,20.51125,10.7655,1.05235,3.00275,0.0,0.8435,0.05249999999999999,0.26117,91.398,197.525,0.3483,2.197,28.505,99.32,1.14045,258.5700000000001,897.2,53.83,102.804,1.71065,1.575,894.8,0.125,5.254500000000001,33.575,0.0,125.575,0.2268,0.2558,1.5275,1.05045,0.6008249999999999,190.1085,0.002775,https://zyllio.github.io/zyllio-samples/recipies/menus/images/10.jpg
11,Poulet rôti aux herbes et légumes de saison,"Un plat réconfortant de filets de poulet rôtis aux herbes, accompagnés de légumes de saison.",2,personnes,2,3,Méthode ami,Dîner,10,45,4,"2 Filets de poulet
1 pincée Herbes de Provence, ou mélange d'herbes fraîches (romarin, thym)
Huile d'olive, au goût
Sel, au goût
Poivre, au goût
Légumes de saison, pour rôtir (carottes, pommes de terre, oignons, asperges), au goût","Assaisonnez les filets de poulet avec les herbes, du sel, du poivre, et un peu d'huile d'olive.
Disposez les légumes coupés en morceaux dans la cuve, arrosez-les également d'huile d'olive, et assaisonnez.
Placez les filets de poulet parmi les légumes.
Programmer le menu Thermogrill couvercle fermé pendant 18 minutes, puissance 3, tourner à mi-cuisson.
Servez chaud pour un repas réconfortant et nutritif.",821.575,195.4475,821.575,195.4475,119.123135,35.40599999999999,35.40599999999999,0.74075,5.01975,0.2742,0.34165,0.00075,0.3627,0.3,0.3,0.3616,0.2725,0.6815,0.002625000000000001,2.4427,0.0,1.1261,99.0,0.699945,19.1965,402.15,0.063275,1.0052,31.059,52.287,0.13485,366.8075000000001,618.8420000000001,30.6245,263.296,0.8477399999999999,31.5,45.79,0.3825,1.1156,4.1225,13.35,8.635000000000002,0.19125,0.086125,16.1762,2.5561,0.6312499999999999,25.554,0.261,https://zyllio.github.io/zyllio-samples/recipies/menus/images/11.jpg
12,Toasts d'avocat et œuf poché,"Des toasts croustillants garnis d'avocat écrasé et couronnés d'un œuf poché tendre et savoureux, saupoudrés de graines de sésame.",2,personnes,2,2,Méthode ami,Petit déjeuner,5,10,5,"2 tranches Pain complet
1 Avocat, mûr
2 Œufs
1 pincée Graines de sésame
Sel, au goût
1 pincée Poivre","Faites toaster le pain.
Écrasez l'avocat et étalez-le sur les toasts.
Pocher les œufs en utilisant le Thermochef avec le menu Thermogrill, puissance 3, couvercle ouvert. Quand l'eau arrive à ébullition, rajoutez 2 cuillères de vinaigre, mettez les œufs un par un pendant environ 3 minutes pour des œufs coulants.
Placez un œuf poché sur chaque toast, saupoudrez de graines de sésame, de sel, et de poivre.",1343.15,323.0,1339.15,321.8,105.577535,11.0265,11.3665,18.72425,21.371,1.3197,0.31615,0.0555,0.3362,0.23,0.985,0.3051,14.3045,5.663,0.375,4.28635,0.0,0.76505,199.375,1.10393,68.32650000000001,632.5,0.26015,2.19445,33.634,44.23575,0.8853,206.415,495.9245,24.525,441.28255,1.42159,91.0,8.815000000000001,1.28525,2.5144,12.065,0.0,0.5774999999999999,0.11505,0.25805,1.2664,1.77285,0.2424,84.634,0.725,https://zyllio.github.io/zyllio-samples/recipies/menus/images/12.jpg
13,Taboulé de chou-fleur aux herbes,Un plat frais et léger de chou-fleur râpé mélangé avec des herbes fraîches et des légumes assaisonné avec du jus de citron et de l'huile d'olive.,2,personnes,1,2,Méthode ami,Déjeuner,15,0,5,"1 Chou-fleur, râpé pour obtenir une texture de semoule
1 bouquet Persil frais, haché
1 bouquet Menthe fraîche, hachée
1 petit Oignon, coupé en dés
2 Tomates, coupées en dés
1 Poivron vert, coupé en dés
1 Citron, jus
2 cuillère à soupe Huile d'olive extra vierge
Sel, au goût
1 pincée Poivre","Mélangez le chou-fleur râpé avec le persil, la menthe, les tomates, l’oignon et le poivron dans un grand saladier.
Assaisonnez avec le jus de citron, l'huile d'olive, le sel, et le poivre.
Laissez reposer au réfrigérateur pendant au moins 30 minutes avant de servir pour permettre aux saveurs de se mélanger.",1217.44,293.41,1217.44,293.41,683.351635,11.8485,11.8485,21.3285,18.1535,15.8452,6.11115,0.00075,6.088200000000001,1.075,1.075,1.5751,2.1175,15.481,2.0807,6.63245,0.0,3.0927,0.0,0.9346149999999999,264.6905,740.7,0.3148,5.237295,96.939,98.72525,1.8494,270.522,2018.8765,100.7525,282.679,1.84544,2.5,3968.165,0.41125,7.103149999999999,642.8014999999999,0.0,238.6925,0.305325,0.25665,3.4593,3.4391,1.380575,382.1139999999999,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/13.jpg
14,Curry de lentilles corail et épinards,"Un délicieux curry de lentilles corail et épinards, à la fois sain et réconfortant.",2,personnes,2,2,Méthode ami,Dîner,10,25,5,"200 gramme Lentilles corail
200 gramme Épinards, frais
1 Oignon, haché
2 Gousses d'ail, écrasées
1 cuillère à café Curcuma
1 cuillère à café Cumin
1 cuillère à café Coriandre, moulue
400 millilitre Lait de coco
Huile d'olive, au goût
Sel, au goût
Poivre, au goût","Faites revenir l'oignon et l'ail dans le Thermochef avec un peu d'huile, couvercle ouvert, menu Thermogrill, puissance 3 pendant 5 minutes.
Ajoutez les épices et laissez cuire encore 2 minutes pour libérer leurs arômes.
Incorporez les lentilles corail et le lait de coco, puis laissez mijoter à couvercle fermé pendant 6 minutes, menu ragout pression 4, puissance 1.
Ajoutez les épinards en fin de cuisson et remuez jusqu'à ce qu'ils soient flétris.
Assaisonnez à votre goût avant de servir.",144.426,34.883,144.426,34.883,298.713235,20.9644,22.1644,34.3602,71.1207,15.5225,1.15065,0.07175,1.089,0.456,0.456,1.1369,16.8905,30.0825,0.015,5.3477,0.0,0.1375,0.0,0.945275,189.9615,450.409,1.30575,12.008395,32.009,153.567,5.057450000000001,412.9575,1568.902,22.4525,329.576,4.56214,0.0,5722.86,0.265,3.64465,529.6194999999999,0.0,50.5215,0.37815,0.29175,2.3607,1.126,0.49115,298.6119999999999,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/14.jpg
15,Bowl de quinoa aux fruits,"Un bowl rafraîchissant et nutritif avec du quinoa et des fruits frais, agrémenté de graines de chia et de sirop de yacon.",2,personnes,1,2,Méthode ami,Petit déjeuner,5,20,6,"100 gramme Quinoa
300 millilitre Eau
2 portion Fruits frais de saison, pomme, poire, baies
1 cuillère à soupe Graines de chia
1 cuillère à soupe Sirop de yacon","Rincez le quinoa sous l'eau froide.
Cuisez le quinoa 3 minutes en menu riz mode 2 couvercle fermé, 1 mesure de quinoa pour 1.5 mesure d’eau, puis laissez-le refroidir.
Laissez refroidir légèrement, puis répartissez le quinoa dans des bols.
Garnissez avec les fruits frais coupés, saupoudrez de graines de chia et arrosez de sirop de yacon.",692.0,163.75,689.0,163.25,159.889,4.4975,4.8625,38.88079999999999,2.9805,21.588,5.48,0.06005000000000001,4.8245,0.158,0.1595,5.8845,13.14,7.090999999999999,1.035,1.55862,0.0,1.02,0.0051,0.02492,74.265,63.10000000000001,0.2533,1.5718,10.245,75.425,0.7068000000000001,176.05,431.955,21.295,9.5741,1.0627,0.0,473.5,0.004500000000000001,0.9075,3.37,0.0,31.454,0.1643,0.03905,1.09395,0.56,0.142,61.13500000000001,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/15.jpg
16,Salade de lentilles et avocat,"Une salade saine et fraîche alliant les lentilles vertes, l'avocat et le concombre avec une vinaigrette de tahini.",2,personnes,2,2,Méthode ami,Déjeuner,15,25,6,"100 gramme Lentilles vertes
1 Avocat, mûr, coupé en dés
0.5 Concombre, coupé en dés
2 Oignons verts, émincés
Huile d'olive, pour la vinaigrette, au goût
Tahini, pour la vinaigrette, au goût
1 pincée Ail
Sel, au goût
1 pincée Poivre","Cuisez les lentilles dans le Thermochef, couvercle fermé, pendant 7 minutes, puissance 3, programme légumes secs pression 7 et réservé.
Dans un saladier, combinez les lentilles refroidies, l'avocat, le concombre, et les oignons verts.
Préparez la vinaigrette en mélangeant l'huile d'olive et le tahini, pointe d’ail. Assaisonnez avec du sel et du poivre.
Versez la vinaigrette sur la salade et mélangez bien avant de servir.",1050.85,253.655,1050.85,253.655,202.538885,8.68305,8.87805,15.078,22.675,4.09845,1.66515,0.0555,1.4272,0.501,0.5085000000000001,1.0261,9.03675,8.9075,0.65675,4.322,0.0,1.11595,0.375,0.5806199999999999,77.52650000000001,360.1515,0.4072499999999999,2.170195,30.934,55.642,0.6700999999999999,204.1475,686.267,34.3525,231.866,1.49064,0.0,82.21500000000002,0.13375,2.6138,26.8515,0.0,9.082499999999998,0.23485,0.1051,1.98655,1.27015,0.27815,109.6645,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/16.jpg
17,Filets de truite avec légumes rôtis,Truite délicate et légumes savoureusement rôtis pour un dîner léger et plein de saveurs.,2,personnes,2,3,Méthode ami,Dîner,10,16,6,"2 Filets de truite
1 Courgette, coupée en rondelles
1 Poivron rouge, coupé en lanières
1 poignée Tomates cerises
1 filet Huile d'olive
1 pincée Herbes de Provence
Sel, au goût
1 pincée Poivre","Disposez les légumes dans la cuve, arrosez-les d'huile d'olive, saupoudrez d'herbes de Provence, de sel et de poivre.
Placez les filets de truite par-dessus les légumes.
Programmer le menu Thermogrill, couvercle fermé, puissance 3, pression 3 pour environ 16 minutes, jusqu'à ce que la truite soit cuite et que les légumes soient tendres.
Servez immédiatement pour un dîner léger et nutritif.",1431.1,341.735,1431.1,341.735,311.5906350000001,42.835,42.835,9.9845,13.7135,8.365699999999999,4.441149999999999,0.00075,3.7912,0.27,0.27,0.3061,0.4824999999999999,4.499,1.064,4.39295,0.0,0.6836000000000001,111.0,0.7851699999999999,120.5265,359.155,0.3330500000000001,4.05495,37.82400000000001,74.73575,1.2776,550.9250000000001,1307.4345,32.2045,311.996,1.62074,28.5,1354.54,0.00125,2.965600000000001,9.088000000000001,0.0,122.3525,0.7500500000000002,0.8450500000000001,9.964450000000001,3.731500000000001,0.8341499999999998,131.889,11.235,https://zyllio.github.io/zyllio-samples/recipies/menus/images/17.jpg
18,Bowl de yogourt au miel et aux noix,"Un bowl de yogourt crémeux agrémenté de miel, de noix variées et de fruits frais pour un petit déjeuner riche en nutriments.",2,personnes,1,2,Méthode ami,Petit déjeuner,5,0,7,"400 gramme Yogourt nature ou grec
2 cuillère à soupe Miel ou sirop de yacon
1 poignée Noix mélangées (amandes, noix, noisettes), grossièrement hachées
2 portion Fruits frais, pour garnir (baies, tranches de banane ou morceaux de pomme)","Répartissez le yogourt dans deux bols.
Arrosez chaque portion de yogourt avec du miel ou du sirop de yacon.
Saupoudrez de noix hachées et ajoutez les fruits frais sur le dessus.
Servez immédiatement pour un petit déjeuner nutritif et satisfaisant.",0.0,0.0,0.0,0.0,282.696,12.2076,13.0176,45.0545,31.49,42.408,8.429,0.7010000000000001,7.085,0.05,0.3629,1.2604,0.0875,5.25,0.0,5.3049,0.0,0.0,33.445,0.2049,366.4153,5.0,0.35007,1.3228,6.875,92.99459999999999,1.0186,153.726,519.2629999999999,14.45,72.3281,1.03658,0.0,54.3325,0.0625,6.13,0.2,0.0,30.293,0.102,0.13499,0.9956,0.39449,0.29182,60.72,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/18.jpg
19,Salade de chou rouge et carotte avec vinaigrette au tahini,"Fraîche et colorée, cette salade croquante est assaisonnée avec une vinaigrette crémeuse à base de tahini.",2,personnes,1,1,Méthode ami,Déjeuner,15,0,7,"200 gramme Chou rouge, finement émincé
2 Carottes, râpées
2 cuillère à soupe Tahini
1 cuillère à soupe Huile d'olive
1 cuillère à soupe Eau, pour diluer
Sel, au goût
1 pincée Poivre","Dans un grand saladier, mélangez le chou rouge émincé et les carottes râpées.
Préparez la vinaigrette en mélangeant le tahini, l'huile d'olive, et un peu d'eau pour obtenir une consistance lisse. Assaisonnez avec du sel et du poivre.
Versez la vinaigrette sur la salade et mélangez bien avant de servir.",457.9,110.25,457.9,110.25,135.256135,4.199,4.589,10.3925,15.291,6.9767,1.85115,0.00075,2.7512,0.3,0.3,2.3001,0.55,5.3285,0.75,2.3382,0.0,0.2577,0.0,0.608525,93.57950000000001,367.9,0.2928999999999999,1.4632,31.409,29.919,0.46525,156.0595,448.654,31.4025,242.646,0.9416399999999999,0.0,4172.69,0.0175,1.71165,12.3865,0.0,20.3575,0.2621,0.06005,1.0048,0.4525999999999999,0.21015,76.40899999999999,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/19.jpg
20,Poulet aux olives et tomates cerise,Un plat simple et délicieux mélangeant le goût de la viande de poulet avec la fraîcheur des tomates cerise et la saveur unique des olives vertes.,2,personnes,2,3,Méthode ami,Dîner,10,25,7,"2 Filets de poulet
1 tasse Tomates cerise
0.5 tasse Olives vertes, dénoyautées
1 Oignon, émincé
2 Gousses d'ail, émincées
Huile d'olive, au goût
Herbes de Provence, au goût
Sel, au goût
Poivre, au goût","Dans la cuve, menu Thermogrill, couvercle ouvert, puissance 3, faites revenir l'oignon et l'ail dans un peu d'huile d'olive jusqu'à ce qu'ils soient translucides.
Ajoutez les filets de poulet et faites-les dorer de chaque côté.
Incorporez les tomates cerise, les olives, et saupoudrez d'herbes de Provence. Assaisonnez avec du sel et du poivre.
Fermer le couvercle et prolonger la cuisson pendant 12 minutes, avec le même menu.
Servez chaud, accompagné de légumes verts à la vapeur ou d'une salade fraîche.",1216.175,290.3699999999999,1216.175,290.3699999999999,292.464135,38.17355,38.17355,11.20275,10.9925,8.67995,4.19265,0.03325,3.8997,0.8285,0.8285,1.3436,0.84425,4.765,0.61825,5.07575,0.0,2.04795,99.325,1.745745,93.52150000000002,1068.319,0.179,2.842695,67.08399999999999,82.66699999999999,0.4786,430.1,1159.317,62.9625,696.341,1.29964,31.5,1674.0525,0.4712499999999999,3.354050000000001,12.235,13.35,36.975,0.2823249999999999,0.1367,17.36755,2.736075,0.8596999999999999,67.187,0.255,https://zyllio.github.io/zyllio-samples/recipies/menus/images/20.jpg
21,Granola maison aux noix et graines,"Granola croquant aux flocons d'avoine, noix de pécan, amandes et graines, parfumé à la cannelle et sucré au sirop d'érable.",4,personnes,1,3,Méthode ami,Petit déjeuner,10,20,8,"200 gramme Flocons d'avoine
50 gramme Noix de pécan, hachées
50 gramme Amandes, hachées
2 cuillère à soupe Graines de tournesol
2 cuillère à soupe Graines de courge
3 cuillère à soupe Sirop d'érable
2 cuillère à soupe Huile de coco, fondue
1 cuillère à café Cannelle","Préchauffez votre Thermochef menu four plancha couvercle ouvert à 150°C.
Dans un grand bol, mélangez tous les ingrédients secs.
Ajoutez le sirop d'érable et l'huile de coco fondue, mélangez bien pour enrober.
Étalez le mélange dans la cuve.
Cuisez en menu four plancha couvercle fermé au four pendant 10 minutes, en remuant à mi-cuisson, jusqu'à ce que le granola soit doré.
Laissez refroidir avant de servir avec du yaourt nature et des fruits frais.",404.5,97.465,403.0,97.065,6.841249999999999,11.1441,13.05035,20.528,37.7051,11.17535,0.10755,0.035,0.1482,0.025,0.03125,10.9136,6.82975,5.459250000000001,0.0,1.8522526,0.0,5e-05,0.0,0.0133625,88.3875,2.5,0.7159000000000001,2.80045,4.025,177.575,2.2045,306.32,391.63,5.05775,5.372999999999999,2.9319,0.0,12.30125,0.03125,13.4726,1.241,0.0,0.6127499999999999,0.59951,0.293455,1.8558,0.5664499999999999,0.32335,80.555,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/21.jpg
22,Salade de lentilles à la grecque,Une salade de lentilles fraîche et savoureuse avec des touches méditerranéennes de feta et d'huile d'olive.,2,personnes,2,2,Méthode ami,Déjeuner,15,25,8,"100 gramme Lentilles vertes
1 Poivron vert, coupé en dés
2 Tomates, coupées en dés
1 Oignon rouge, émincé
100 gramme Feta, émiettée
Olives noires, au goût
Huile d'olive extra vierge, au goût
2 cuillère à soupe Tahini
Sel, au goût
Poivre, au goût
Ail, au goût","Cuisez les lentilles dans le Thermochef, couvercle fermé, pendant 7 minutes, puissance 3, programme légumes secs pression 7 et réservé.
Laissez refroidir, puis mélangez avec le poivron, les tomates, l'oignon rouge, la feta, et les olives.
Assaisonnez avec l'huile d'olive, 2 cuillères à soupe de tahini, pointe d’ail, le sel, et le poivre avant de servir.",1105.69,265.4949999999999,1110.69,265.9949999999999,352.659635,18.62975,18.86975,24.6185,25.437,10.0887,3.71365,0.10075,3.1682,0.665,0.665,1.6026,8.751249999999999,10.6385,0.3057,5.8872,0.0,1.56955,32.6525,1.91027,221.3175,1324.0725,0.5359400000000001,3.509121,66.639,72.08200000000001,0.8024999999999999,387.805,900.9670000000001,41.9975,763.379,2.41769,109.0,1342.04,0.65125,3.577650000000001,17.1475,0.0,116.9175,0.413725,0.2949,2.7098,0.8714500000000001,0.6578249999999999,140.7865,0.265,https://zyllio.github.io/zyllio-samples/recipies/menus/images/22.jpg
23,Poulet au curry et légumes,"Un plat savoureux de poulet au curry avec une touche crémeuse de lait de coco, accompagné de courgette et de poivron rouge.",2,personnes,2,3,Méthode ami,Dîner,10,30,8,"2 Filets de poulet, coupés en morceaux
1 Courgette, coupée en dés
1 Poivron rouge, coupé en dés
1 Oignon, émincé
2 Gousses d'ail, écrasées
1 cuillère à café Curry en poudre
400 millilitre Lait de coco
Sel, au goût
1 pincée Poivre","Faites revenir l'oignon et l'ail dans le Thermochef avec un peu d'huile, menu Thermogrill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajoutez le poulet et faites-le dorer de tous les côtés.
Incorporez les légumes et le curry, mélangez bien.
Versez le lait de coco, assaisonnez avec le sel et le poivre, puis laissez mijoter couvercle fermé menu ragout puissance 3.pression 4, cuisson 5 minutes
Servez chaud, accompagné de riz basmati ou de quinoa.",913.4499999999999,216.94,913.4499999999999,216.94,415.967135,44.7058,45.90579999999999,22.6318,70.38749999999999,20.3105,4.10765,0.00275,3.528099999999999,0.706,0.706,1.263,0.5229999999999999,23.1345,0.779,5.57795,0.0,1.59955,99.0,0.83792,75.79650000000001,455.3339999999999,1.0305,6.168945,54.754,144.26575,3.4696,671.91,1824.6845,47.4325,333.111,3.58489,31.5,563.8,0.38375,4.01405,10.937,13.35,124.1595,0.4194000000000001,0.34785,17.9179,3.5556,1.23075,187.502,0.255,https://zyllio.github.io/zyllio-samples/recipies/menus/images/23.jpg
24,Muffins aux bananes et noix,"Délicieux muffins moelleux aux bananes mûres avec des morceaux croquants de noix, parfaits pour le petit-déjeuner ou le goûter.",6,personnes,2,2,Méthode ami,Petit déjeuner,15,20,9,"3 Bananes mûres, écrasées
60 millilitre Huile de coco, fondue
60 millilitre Sirop d'érable
2 Œufs
240 gramme Farine d'avoine
120 gramme Farine de blé complet
1 cuillère à café Levure chimique
1 cuillère à café Bicarbonate de soude
1 cuillère à café Sel
120 gramme Noix, hachées","Dans un grand bol, mélangez les bananes écrasées, l'huile de coco, le sirop d'érable, et les œufs.
Dans un autre bol, combinez les farines, la levure chimique, le bicarbonate de soude, et le sel.
Incorporez les ingrédients secs aux ingrédients humides, puis ajoutez les noix.
Répartissez la pâte dans des moules à muffins et cuisez au four à vapeur avec 300 ml d'eau au fond de la cuve, puissance 3, pression 7, pendant 18 minutes.
Vérifiez la cuisson en vous assurant qu'un cure-dent inséré en ressorte propre.
Laissez refroidir avant de servir.",803.5723333333332,191.418,797.5723333333332,190.518,38.016635,6.286833333333333,6.736833333333333,28.48983333333333,10.607,8.333916666666665,1.234,0.02,1.307833333333333,0.101,0.1713333333333333,5.732166666666667,18.245,4.267916666666666,0.15,1.761168666666667,0.0,0.03903333333333333,33.16666666666666,0.5270833333333333,80.07983333333333,330.77,0.2122833333333333,1.501866666666667,9.859,60.57991666666666,1.724904166666667,198.7066666666667,273.4295,8.8275,361.1978333333333,1.317169166666667,15.16666666666667,13.75,0.1816666666666666,1.165166666666667,0.894,0.0,2.248,0.1650833333333333,0.155,0.7042999999999999,0.6956333333333333,0.1326,32.49333333333333,0.1208333333333333,https://zyllio.github.io/zyllio-samples/recipies/menus/images/24.jpg
25,Salade de pois chiches méditerranéenne,Une salade fraîche et nutritive avec des pois chiches et des légumes du soleil,2,personnes,1,2,Méthode ami,Déjeuner,15,0,9,"1 Boîte de pois chiches, rincés et égouttés
1 Poivron vert, coupé en dés
2 Tomates, coupées en dés
0.5 Oignon rouge, émincé
100 gramme Feta, émiéttée
Olives noires, au goût
Huile d'olive extra vierge, au goût
Jus de citron, au goût
Sel, au goût
1 pincée Poivre","Dans un grand saladier, combinez les pois chiches, le poivron, les tomates, l'oignon rouge, la feta, et les olives.
Assaisonnez avec l'huile d'olive, le jus de citron, le sel, et le poivre.
Mélangez bien et servez frais.",802.9399999999999,193.67,807.9399999999999,194.17,367.857635,18.1495,17.9995,28.6985,20.05825,8.445200000000002,2.82615,0.10075,2.3332,0.325,0.325,1.3031,0.6,10.7335,0.0182,5.622449999999999,0.0,1.3853,32.6525,2.48042,197.1575,1285.85,0.4099200000000001,2.6230355,50.639,68.88199999999999,1.109,266.93,772.3170000000001,57.42249999999999,991.7790000000001,2.06044,109.0,1318.715,0.5075,3.60815,19.685,0.0,116.225,0.1568,0.234325,1.7703,0.920275,0.80405,130.109,0.265,https://zyllio.github.io/zyllio-samples/recipies/menus/images/25.jpg
26,Filet de truite au four avec asperges,"Délicieux filets de truite cuits au four avec des asperges fraîches, arrosés d'huile d'olive et de jus de citron.",2,personnes,2,4,Méthode ami,Dîner,10,20,9,"2 Filets de truite
1 botte Asperges, extrémités enlevées
Sel, au goût
1 pincée Poivre
Huile d'olive extra vierge, au goût
Jus de citron, au goût","Préchauffez votre Thermochef menu four à 150°C.
Placez les filets de truite et les asperges dans la cuve.
Arrosez d'huile d'olive, puis assaisonnez avec du sel et du poivre.
Cuisez pendant environ 20 minutes, ou jusqu'à ce que le poisson soit cuit à votre goût.
Servez immédiatement, arrosé d'un peu de jus de citron.",1248.4,298.65,1248.4,298.65,195.385135,42.04900000000001,42.04900000000001,3.07,15.47175,2.0632,0.84115,0.00075,0.4912,0.0,0.0,0.2101,0.0,2.1085,0.0,3.347700000000001,0.0,0.0103,111.0,0.7594799999999999,107.7965,306.0,0.338775,4.29745,9.759,55.06700000000001,1.07735,524.5725,912.2420000000001,6.1025,301.971,1.56614,28.5,457.44,0.007500000000000001,1.2984,42.4725,0.0,11.4125,0.7786750000000001,0.750725,9.6623,3.545925,0.4253749999999999,124.359,11.235,https://zyllio.github.io/zyllio-samples/recipies/menus/images/26.jpg
27,Crêpes de sarrasin aux pommes,"Des crêpes de sarrasin savoureuses garnies de pommes émincées et de cannelle, servies avec du sirop d'érable ou de yacon.",2,personnes,2,2,Méthode ami,Petit déjeuner,10,15,10,"100 gramme Farine de sarrasin
1 Œuf
250 millilitre Lait d'amande
1 Pomme, émincée finement
1 cuillère à café Cannelle
Huile de coco, pour la cuisson, au goût","Dans un blender, combinez la farine de sarrasin, l'œuf, et le lait d'amande. Mixez jusqu'à obtenir une pâte lisse.
Ajoutez les pommes émincées et la cannelle à la pâte et mélangez délicatement.
Chauffez un peu d'huile de coco dans la cuve du Thermochef, menu Thermogrill couvercle, ouvert puissance 3, 10 minutes. Versez une louche de pâte et cuisez des deux côtés jusqu'à ce qu'elles soient dorées.
Servez chaud avec un filet de sirop d'érable, ou de yacon si désiré.",1356.0,324.305,1356.0,324.305,207.531,10.4762,10.4762,44.09250000000001,15.2522,7.1292,4.643599999999999,0.125,1.71415,0.125,0.2625,1.2092,34.6125,4.306,0.0125,1.758503,0.0,0.36885,99.5,0.165275,60.105,45.75,0.3604,2.00545,30.4,97.07749999999999,0.9212500000000001,214.44,360.31,35.626,66.25,1.58155,45.5,23.42,0.7825,2.9782,6.717000000000001,0.0,5.6005,0.23472,0.22216,2.6723,1.21535,0.3175999999999999,52.71,0.3625,https://zyllio.github.io/zyllio-samples/recipies/menus/images/27.jpg
28,Soupe de lentilles et carottes,Une soupe réconfortante et nutritive à base de lentilles vertes et de carottes parfumée au cumin.,2,personnes,1,1,Méthode ami,Déjeuner,10,30,10,"100 gramme Lentilles vertes
2 Carottes, coupées en dés
1 Oignon, émincé
2 Gousses d'ail, émincées
1 litre Bouillon de légumes
1 cuillère à café Cumin
Sel, au goût
Poivre, au goût","Mettez les lentilles, les carottes, l'oignon, l'ail, le bouillon de légumes, et le cumin dans le Thermochef.
Programmer couvercle fermé, pendant 7 minutes, puissance 3, programme légumes secs pression 7.
Une fois la cuisson terminée, mixez légèrement si vous préférez une texture plus lisse.
Assaisonnez avec du sel et du poivre selon votre goût.",504.3,119.75,504.3,119.75,613.409735,8.0188,8.0188,19.3625,1.9255,6.511699999999999,1.41015,0.00075,1.4572,0.456,0.456,2.8711,9.3605,6.8325,0.515,6.65095,0.0,0.23105,0.0,3.65557,61.8565,373.809,0.1702,2.614445,25.709,41.72575000000001,0.4849,119.28,399.3844999999999,21.8525,1441.421,0.90589,0.0,4199.209999999999,0.13375,0.46785,3.778,0.0,3.3195,0.6489,0.09465,0.8861,0.3149,0.19005,75.74199999999999,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/28.jpg
