Name,Description,Image,Category,Price,Currency,PriceId
Côte du Rhône Style blanc 75 cl,"Robe jaune clair et limpide, légers reflets émeraude. Le nez est assez timide. En bouche, beaucoup de gras à l'attaque, de petits goûts d'amande blanche, un peu fenouil, un soupçon de iodé, fruits blancs autour. Un joli blanc joyeux et convivial. Servir vers 10/12° dans la jeunesse. Dégusté en janvier 2018

TVA à 20% inclus",,Vins blancs,20,EUR,
"Sancerre, Domaine Franck Millet (Loire) 75cl","Issu à 100% du Sauvignon, ce Vin blanc de Loire possède les saveurs typiques de son terroir.Le VinSa robe est d'un jaune d'or pâle, limpide et brillant. Il offre des parfums de fruits exotiques, d'agrumes et de fruits blancs sur de délicates notes florales. Sa fraîcheur et sa vivacité entrent en complète harmonie avec sa souplesse et sa rondeur. Une longue finale permet d'apprécier pleinement la perfection de sa personnalité.

TVA à 20% inclus",,Vins blancs,28,EUR,
Petit Chablis Domaine Millet 75cl,"Vin fin et élégant qui présente des notes de fruits exotiques. Cépages : Chardonnay Une robe or pâle aux reflets turquoise. Le bouquet présente des notes végétales et des notes gourmandes et exotiques d'ananas et de poire. Rond et frais. Température de service : 10 et 12°

TVA à 20% inclus",,Vins blancs,29,EUR,
Bordeaux Jean Degave 75cl,"Vin harmonieux et gourmand, issu de raisins cultivé en agriculture biologique. Cépages : Merlot, Cabernet franc Robe pourpre. Nez élégant aux arômes de fruits rouges et noirs et de réglisse. Ample et riche, final rond. Température de service : 16-18°C

TVA à 20% inclus",,Vins rouges,17,EUR,
Cahors Château de Gaudou 75 cl,"Jolie robe profonde et dense aux reflets grenat. Le nez fin et discret nous aguiche par ses jolies petites notes végétales, herbes fraîches. La bouche est présente avec des tanins riches et soyeux. Le fruit noir est dominant, l'ensemble possède une belle maturité et nous offre une finale digeste. Un Gaudou 2014 en grande forme qui nous ravira vers 16° sur de l'agneau de pays.

TVA à 20% inclus",,Vins rouges,19,EUR,
Brouilly André Vonnier Rouge 75cl,"Robe grenat violace. Nez complexe depices douces, de pivoines et de beaux fruits rouges. Ah Gamay, quand tu nous tiens ! Bouche ronde toute docile et fraiche soulignee de tanins deja fondus et genereux. Ici Beaujolais de finesse et de precision faÃ§on bouquet de fleurs. Parfums races perceptibles et finale fraiche et acidulee sur de petits fruits a noyaux. Superbe ! Servir vers 16Â° des laube sur tout un repas.

TVA à 20% inclus",,Vins rouges,24,EUR,
Les Hauts de Malydure Saint-Emilion 75cl,"Un vin puissant et charpenté aux notes de fruits mûrs. Cépages : Merlot, Cabernet sauvignon, Cabernet franc Robe à la couleur pourpre. Arômes de fruits rouges, violettes et poivre. Température de service : 16-18°C.

TVA à 20% inclus",,Vins rouges,29,EUR,
Château du Taillan Haut-Médoc 75cl,"Vin souple et corsé. Cépages : Merlot, Cabernet sauvignon, Cabernet franc Robe rubis intense. Le bouquet exhale des arômes de fruits des bois et de cassis mais aussi des notes de grains de café, de tabac, de cuir et d'expresso. Moyennement corsé, doté d'un équilibre parfait entre des tanins bien intégrés et une délicate acidité. La longue finale met en avant une dimension fruitée avec des notes de violette et de réglisse. Température de service : 16-18°C.

TVA à 20% inclus",,Vins rouges,34,EUR,
Ventoux Terre et Ambre Armand Dartois 75 cl,"Notre sélection arbore une robe grenat sombre, intense aux reflets jeunes. Vous découvrirez au nez un bouquet gourmand et frais de fruits rouges et noirs mêlés de petites épices. En bouche, c'est un vin friand et franc, à la chair fruitée et à la texture vineuse terriblement gouleyante ! Les petits tanins et la fraîcheur se disputent l'équilibre tandis que les fruits noirs et la garrigue nous vendent du plaisir ! Ensemble juteux, délicieux, l'archétype du vin convivial au service de notre appétit ! Servir vers 16°, accompagné de charcuterie, de viande rouge ou d'un gibier à plumes.

TVA à 20% inclus",,Vins rosés,15,EUR,
Côtes-de-Provence Cuvée Marafiance Château Cavalier 75 cl,"Robe rose saumoné aux reflets orangés. Le nez est croquant et juteux rappelant l'abricot, la pêche jaune, la mandarine, la mangue. Délicieux ! En bouche, de la rondeur et de la pulpe de fruit, un léger gras bien équilibré. La chair est bien vineuse et complexe assurant une superbe tenue à table !! De fines touches d'épices douces apparaissent ensuite pour le punch et la structure. Ensemble gourmand et dynamique, à déguster dès à présent vers 10° sur tout un repas. Parfait !

TVA à 20% inclus",,Vins rosés,19,EUR,
Estandon Côtes de Provence 75cl,"Vin de l'été. Cépages : Cinsault, Grenache , Syrah Robe rose pâle et cristalline. Le nez est fin et tendre, avec un beau bouquet floral. En bouche, une matière ronde, élégante et soyeuse de belle persistance, à la fois fraîche et équilibrée, nous charme. Température de service : 10°.

TVA à 20% inclus",,Vins rosés,24,EUR,
M de Minuty Côtes de Provence 75cl,"Vin rosé gourmand et frais. Cépages : Grenache Robe légère et brillante. Nez très intense d'arômes gourmands d'écorces d'orange et de groseille. Souple avec une belle fraîcheur acidulée. Température de service : 8° à 10°.

TVA à 20% inclus",,Vins rosés,33,EUR,
