Id,Nom,Description,Portions,Portions unité,Difficulté,Coût,Régime,Catégorie,Préparation,Cuisson,Ingrédients,Instructions,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)","Protéines, N x 6.25 (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),Beta-Carotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K1 (µg/100 g),Vitamine K2 (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g),Image
77,Bar en papillote aux fenouils,"Un délicieux filet de bar cuit en papillote avec du fenouil frais, arrosé de jus de citron et parsemé d'aneth.",4,personnes,2,4,Index glycémique bas,Plats,5,20,"4 Filets de bar
1 Bulbe de fenouil, tranché finement
1 Citron, jus
1 pincée Aneth fraîche
Sel, au goût
Poivre, au goût","Sur une feuille de papillote, placez le fenouil, puis le filet de bar.
Arrosez de jus de citron, parsemez d'aneth, salez et poivrez.
Fermez les papillotes et placez-les sur la grille du Thermochef, mettre 2 mesures d’eau au fond de la cuve.
Programmez en mode 'four vapeur' pour 20 minutes, pression 7, puissance 3.",502.8925,118.7455,502.8925,118.7455,169.1388175,23.681825,23.681825,2.05675,1.26775,1.5296,0.9405749999999999,0.000375,1.0656,0.4025,0.4025,0.40255,0.21875,1.79175,0.40625,2.457475,0.0,1.1713,57.12,0.5577775,38.92575,348.425,0.108925,0.5221,42.59425,41.30912500000001,0.1228,268.72475,699.90975,52.308,223.3005,0.54782,25.2,7.463750000000001,6.708625000000001,1.022075,40.72,0.0,11.012,0.0482125,0.07882499999999999,4.4924,0.8290500000000001,0.4448875,44.5595,3.744,
78,Brochettes de tofu aux légumes,Des brochettes végétariennes de tofu et légumes assaisonnées à la sauce soja.,4,personnes,2,3,Index glycémique bas,Plats,10,15,"400 g Tofu ferme, coupé en cubes
2 Poivrons, en cubes
2 Courgettes, en cubes
2 Oignons, en cubes
Sauce soja, au goût
Huile d'olive, au goût","Couper le tofu et les légumes en cubes.
Enfiler tofu et légumes sur des brochettes.
Badigeonner avec de l'huile d'olive et un peu de sauce soja.
Cuire avec le menu four, 140 degrés, couvercle ouvert, pendant 15 minutes en les tournant.",735.0625,176.31875,713.0625,171.31875,283.2375,15.87475,17.17475,11.253,10.5225,6.8015,1.94375,0.1,1.749375,0.35,0.35375,1.17975,0.98125,3.53575,0.024,2.530625,0.0,0.282645,0.0,0.3454125000000001,137.31875,151.2,0.367725,3.08222,30.6525,131.971875,1.240875,291.67875,620.09125,22.18,137.8625,1.828125,1.5,778.125,0.628125,2.21125,17.90125,0.0,110.7,0.127325,0.18775,1.2185,0.48925,0.555125,106.625,0.0,
79,Carré d'agneau aux aromates,"Un carré d'agneau savoureux enrobé d'herbes aromatiques et de moutarde, cuit à la perfection au Thermochef.",4,personnes,4,5,Index glycémique bas,Plats,10,20,"1 Carré d'agneau, (4 côtes)
2 Gousses d'ail, écrasées
2 cuillère à soupe Persil, haché
1 cuillère à soupe Moutarde
Sel, au goût
Poivre, au goût","Enduisez le carré d'agneau avec la moutarde, l'ail, le persil, sel et poivre.
Placez-le dans la cuve du Thermochef.
Programmez en mode 'four' à 150 degrés pour 20 minutes, retourner à mi-cuisson.
Laissez reposer 10 minutes avant de découper entre les côtes.",542.7,130.34,542.7,130.34,36.8608175,13.4079,13.4079,0.719125,8.07775,0.12935,0.043325,0.000375,0.06085,0.00675,0.00675,0.015425,0.12075,0.4037499999999999,0.0075,1.188375,0.0,0.079725,24.45,0.665685,25.3845,171.4045,0.0533,0.3548,3.217,14.619125,0.144375,102.52,47.51725,5.56625,170.3855,1.82757,2.85,256.0075,0.004375,0.106025,61.4245,0.0,8.87,0.012425,0.011975,3.824525,0.034575,0.0272375,7.42725,1.4,
80,Casserole de haricots blancs et tomates,Un plat réconfortant et simple à base de haricots blancs et de tomates.,4,personnes,2,2,Index glycémique bas,Plats,5,8,"400 g Haricots blancs, cuits
400 g Tomates, concassées
1 Oignon, émincé
2 Gousses d'ail, hachées
1 cuillère à café Thym, séché
Sel, au goût
Poivre, au goût","Mettez les haricots, les tomates, l'oignon, l'ail et le thym dans la cuve.
Programmez en mode ""ragoût"" pendant 8 minutes, pression 6, puissance 1.
Fermez le couvercle et lancez la cuisson.
Assaisonnez avec sel et poivre avant de servir.",92.71499999999999,22.0575,92.71499999999999,22.0575,128.3023175,20.3618,20.3618,48.3565,2.22545,5.6196,1.830075,0.000375,1.4836,0.128,0.128,0.38555,42.13025,18.61125,0.0205,5.432875,0.0,0.4635,0.0,0.3055925,199.80075,266.4545,0.76615,8.186472499999999,3.6545,200.532875,2.0361,401.51,1977.01475,19.72625,121.913,3.39297,0.0,470.22,0.004375,0.9615250000000001,13.9595,0.0,18.92375,0.49492,0.18285,1.1497,1.118475,0.5349499999999999,337.6585,0.0,
81,Curry de légumes à la noix de coco,"Un savoureux curry de légumes parfumé au lait de coco, facile à préparer pour un repas équilibré",4,personnes,4,3,Index glycémique bas,Plats,0,10,"1 Aubergine, coupée en dés
1 Courgette, coupée en dés
1 Oignon, émincé
200 ml Lait de coco
1 cuillère à soupe Pâte de curry
200 ml Bouillon de légumes
Sel, au goût
Poivre, au goût","Mettez tous les légumes, le lait de coco, la pâte de curry et le bouillon dans la cuve.
Programmez en mode 'ragoût' pendant 10 minutes, puissance 2, pression 5.
Fermez le couvercle et lancez la cuisson.
Assaisonnez avec sel et poivre avant de servir.",61.65000000000001,14.6675,61.65000000000001,14.6675,232.4075675,3.8465,4.146500000000001,8.634375,17.3835,7.76085,2.080075,0.000375,1.949475,0.1325,0.1325,0.5317999999999999,0.29625,8.0935,0.007000000000000001,2.26335,0.0,0.23165,0.28125,0.65849625,33.3295,195.6375,0.3323375,1.8070225,4.490125,40.179125,1.1403,114.46125,590.06725,1.29125,261.14175,0.922695,0.375,88.145,0.12625,0.46045,5.978750000000001,0.0,13.384375,0.1694875,0.1194,1.2549,0.522425,0.2297,62.782,0.005250000000000001,
82,Dorade aux olives et tomates cerise,"Un plat de poissons méditerranéens farcis garnis d'olives vertes, de tomates cerise, d'ail et de basilic frais, cuit au four.",4,personnes,4,5,Index glycémique bas,Plats,10,25,"4 Dorades écaillées et vidées
1 poignée Olives vertes, dénoyautées
200 g Tomates cerise
2 Gousses d'ail, émincées
Basilic frais, au goût
Sel, au goût
Poivre, au goût","Farcissez les dorades avec les olives, les tomates cerise, l'ail et le basilic.
Assaisonnez les poissons avec du sel et poivre.
Placez-les dans la cuve du Thermochef.
Programmez en mode 'four' à 150 degrés pour 25 minutes en les retournant à mi-cuisson.",1578.25,375.0375,1578.25,375.0375,336.5483174999999,64.40540000000001,64.40540000000001,3.2565,11.310875,2.4261,1.274075,0.0225,1.1726,0.12175,0.12175,0.1293,0.245875,1.469625,0.259375,5.421625000000001,0.0,0.36235,192.6875,1.26241,135.53575,509.3545,0.441225,5.933175,154.1045,78.082875,0.5608,642.85125,1722.99225,84.10125,499.5705,2.787195,24.5,725.81375,25.07625,4.171650000000001,9.58075,0.0,14.68375,0.5555375,0.3445,4.69265,0.0586375,0.91045,35.5335,0.0,
83,Filets de truite à l'aneth et citron,Des filets de truite assaisonnés avec de l'aneth et du citron cuits en mode vapeur.,4,personnes,3,5,Index glycémique bas,Plats,0,10,"4 Filets de truite
1 Citron, jus et zeste
2 cuillère à soupe Aneth haché
Sel, au goût
Poivre, au goût","Assaisonnez les filets de truite avec sel, poivre, zeste et jus de citron.
Placez les filets sur la grille, 2 mesures d’eau dans la cuve du Thermochef.
Parsemez d'aneth.
Programmez en mode ""four vapeur"" pour 10 minutes, pression 5, puissance 3.",1189.725,284.115,1189.725,284.115,118.6913175,40.32175000000001,40.32175000000001,0.69875,12.9,0.2416,0.075575,0.000375,0.0756,0.0375,0.0375,0.03755,0.0,0.4205,0.09375,2.770975,0.0,1.12765,111.0,0.5132774999999999,100.94575,156.5,0.236875,3.36385,13.097,46.064125,1.08405,477.5875,773.31725,8.50375,201.248,1.26457,28.5,2.4575,0.000625,0.147325,0.51,0.0,14.43875,0.6676125,0.66415,8.854899999999999,3.4133,0.3723875,36.5795,11.235,
84,Lasagnes aux épinards et ricotta,"Des lasagnes végétariennes riches en légumes chaudes et savoureuses, parfaites pour un repas en famille ou entre amis.",4,personnes,4,5,Index glycémique bas,Plats,12,8,"250 g Feuilles de lasagne
500 g Épinards, frais
250 g Ricotta
200 ml Sauce tomate
100 g Fromage râpé
Sel, au goût
Poivre, au goût","Faites chauffer 2 l’eau dans la cuve à 80 degrés menu thermodiet couvercle fermé. Mettre cette eau dans un saladier et mettre les plaques de lasagne à tremper pendant 10 minutes.
Programmez le menu thermogrill couvercle ouvert puissance 1, 2 minutes et faire flétrir légèrement les feuilles d’épinard.
Dans un bol, mélangez les épinards cuits et la ricotta, salez et poivrez.
Dans la cuve, alternez une couche de lasagne, une couche d'épinards et de ricotta, et une couche de sauce tomate.
Répétez jusqu'à épuisement des ingrédients, terminez par le fromage râpé.
Programmer le Thermochef avec le menu four vapeur, puissance 2, pression 6, pendant 8 min.",720.325,171.325,719.075,171.45,253.8725675,19.08075,19.062,24.88375,17.665,4.96535,1.340575,0.089125,1.3756,1.58125,0.5125,0.65505,15.975,5.299250000000001,0.0,5.382225,0.0,0.020025,59.41875,1.42334,607.5582499999999,672.5625,0.29,5.726975,42.5045,105.532875,1.9228,364.32,1021.76725,21.77625,560.1605,3.231445,121.375,7192.27,0.250625,4.038575,654.1975,0.0,54.53875000000001,0.15105,0.527775,1.7299,0.7258,0.35545,293.842,0.7262500000000001,
85,Paëlla aux légumes,"Une délicieuse version végétarienne de la traditionnelle paëlla espagnole, riche en légumes colorés et savoureux.",4,personnes,4,4,Index glycémique bas,Plats,10,20,"300 g Riz à paëlla
1 Poivron rouge, coupé en dés
1 Poivron vert, coupé en dés
200 g Petits pois
1 Oignon, émincé
750 ml Bouillon de légumes
1 cuillère à café Paprika
Sel, au goût
Poivre, au goût","Mettez le riz, les poivrons, les petits pois, l'oignon, le paprika et le bouillon dans la cuve.
Programmez en mode 'Riz' Mode 5.
Fermez le couvercle et lancez la cuisson.
Assaisonnez avec sel et poivre avant de servir.",571.2375,134.9825,568.9875,134.2325,362.1160675,6.82375,6.928750000000001,34.27425,1.4095,7.40685,1.724125,0.001325,1.46375,0.35,0.435,2.9441,21.59375,5.77625,0.375,3.229675,0.0,0.248825,0.5625,1.43834,39.44075,225.195,0.18145,1.4150225,27.0045,35.485375,0.4845,112.5775,351.56725,23.67375,568.4005,0.878095,0.75,766.52,0.188125,2.092825,26.334,0.0,112.85575,0.417075,0.16655,1.85165,0.5396,0.396775,85.437,0.024,
86,Pavés de saumon à l'orange et gingembre,"Un plat raffiné de pavés de saumon assaisonnés au jus d'orange et gingembre frais, cuit à la vapeur pour une saveur délicate.",4,personnes,3,5,Index glycémique bas,Plats,5,10,"4 Pavés de saumon
1 Orange, jus et zeste
1 cuillère à café Gingembre frais, râpé
Sel, au goût
Poivre, au goût","Assaisonnez les pavés de saumon avec le zeste et le jus d'orange, le gingembre, sel et poivre.
Placez les pavés dans la cuve du Thermochef.
Programmez en mode ""four vapeur"" pour 10 minutes, pression 6, puissance 1.",1299.7925,310.46975,1299.7925,310.46975,128.2373175,34.81725,34.81725,3.1335,17.459,2.8541,0.7896750000000001,0.000375,0.7515,0.0755,0.0755,1.31305,0.13625,1.0835,0.18875,2.056675,0.0,0.3938,54.45,0.444505,39.85575,254.79275,0.057,0.8579749999999999,33.1045,38.272875,0.0733,419.76,657.34225,36.10125,176.92625,0.6820450000000001,7.5,3.5025,13.05125,3.15295,0.6619999999999999,0.0,17.815,0.34722,0.1688,10.64015,1.699875,0.739575,27.3465,4.575,
87,Porc au miel et soja,"Filets de porc enrobés d'une marinade au miel et à la sauce soja, cuits au Thermochef.",4,personnes,3,4,Index glycémique bas,Plats,5,20,"4 Filets de porc
3 cuillère à soupe Miel
3 cuillère à soupe Sauce soja
1 Gousse d'ail, écrasée
Sel, au goût
Poivre, au goût","Mélangez le miel, la sauce soja et l'ail, enduisez les filets de porc avec cette marinade.
Placez les filets dans la cuve du Thermochef.
Programmez en mode 'four' à 150 degrés pour 20 minutes.
Arrosez les filets de la marinade restante à mi-cuisson après les avoir retournés.",624.6299999999999,148.2,624.6299999999999,148.2,101.8845675,26.557075,26.557075,13.5974,4.356,12.7573,6.327575,0.488625,5.3796,0.0015,0.276675,0.2411,0.070125,0.22385,0.00375,4.242475,0.0,0.005716,75.96000000000001,2.9733375,13.906225,152.97725,0.1269175,1.4245,1.71425,45.123325,0.1434,303.982,592.1345,13.30225,1189.660325,3.113755,0.0,1.5575,0.4345,0.197425,0.366,4.44,0.131,1.18401,0.3685675000000001,7.395024999999999,1.0360175,0.742265,5.54525,0.696,
88,Flan de courgettes au basilic,"Un flan léger et aromatique aux courgettes et basilic frais, parfait pour un accompagnement ou un plat végétarien.",4,personnes,3,2,Sans gluten,Entrées,15,30,"3 Courgettes, râpées
4 Œufs
100 ml Crème fraîche
1 Basilic frais, haché
Sel, au goût
Poivre, au goût","Râper les courgettes.
Battre les œufs avec la crème, le basilic haché, le sel et le poivre.
Ajouter les courgettes râpées au mélange.
Verser dans un moule à flan.
Utiliser le menu 'four vapeur' avec pression 7 pour 30 min, puissance 3.
Laisser refroidir avant de démouler.",717.4875000000001,172.88,717.4875000000001,172.88,200.0363175,9.103874999999999,9.088875,3.729375,13.016375,3.500475,1.586325,0.0355,1.30135,0.665,0.1,0.15405,0.05,2.519375,0.021,1.8006,0.0,0.1554,222.7,0.45264,97.14574999999999,177.75,0.124875,1.739725,15.6645,36.612875,0.364875,187.595,500.35475,2.76125,180.7355,1.06307,139.75,317.52,0.9906249999999999,1.054825,22.5225,0.0,26.92,0.105575,0.450375,0.8113999999999999,1.127425,0.375075,79.4795,0.755,
89,Flan de potiron et muscade,Un flan savoureux et parfumé au potiron et à la muscade,4,personnes,3,3,Sans gluten,Entrées,10,30,"500 g Potiron, coupé en cubes
4 Œufs
200 ml Crème fraîche
1 pincée Noix de muscade
Sel, au goût
Poivre, au goût","Couper le potiron en cubes.
Cuire le potiron dans le Thermochef avec le menu 'pression' dans le panier vapeur, avec 150 ml d'eau, puissance 3, pression 7, pendant 5 min.
Égoutter et mixer le potiron.
Battre les œufs avec la crème, la noix de muscade, le sel et le poivre.
Ajouter le potiron mixé au mélange.
Verser dans un moule à flan.
Utiliser le menu 'four vapeur' avec pression 7 pour 25 min, puissance 3 avec 300 ml d'eau au fond de la cuve.
Laisser refroidir avant de démouler.",920.45,222.825,920.45,222.825,185.4225675,9.13325,9.10325,6.00875,20.40875,3.1666,0.125575,0.050375,0.1856,1.33,0.125,0.12505,1.35,2.18925,0.0,1.977225,0.0,0.292525,246.4,0.437715,104.33325,202.75,0.196625,2.023225,15.8545,24.942875,0.2147,189.445,546.54225,2.44125,175.0355,1.027695,188.5,3913.02,1.040625,2.294825,1.885,0.0,11.50125,0.1023,0.4475250000000001,0.86265,1.28455,0.168825,48.8045,0.7849999999999999,
90,Gratin de choux de bruxelles et moutarde,Un gratin savoureux et original à base de choux de Bruxelles et de moutarde.,4,personnes,4,4,Sans gluten,Entrées,5,13,"500 g Choux de Bruxelles, coupés en deux
200 ml Crème de soja
2 cuillère à soupe Moutarde
Sel, au goût
Poivre, au goût","Nettoyer et couper les choux de Bruxelles en deux.
Blanchir les choux dans le Thermochef en utilisant le menu 'pression' dans le panier vapeur, avec 150 ml d’eau, puissance 3, pression 7, pendant 5 min.
Mélanger la crème de soja avec la moutarde, saler et poivrer.
Verser le mélange sur les choux de Bruxelles.
Utiliser le menu 'four vapeur' avec pression 5 pour 8 min, puissance 1.",50.85000000000001,12.225,50.85000000000001,12.225,150.6150675,7.15225,7.15225,8.526,8.70875,3.6761,0.984575,0.000375,0.8151,0.1075,0.1075,2.0348,1.62,5.07675,0.25,2.641725,0.0,0.214025,0.0,0.79984,56.08074999999999,264.25,0.141525,1.852975,10.592,42.980375,0.53205,136.695,625.29225,11.87625,270.4105,0.7754449999999999,0.0,570.345,0.125625,3.799325,271.105,0.0,128.77375,0.18105,0.171125,1.0564,0.7388,0.3424,128.242,0.0,
91,Gratin de courge spaghetti et sauge,"Un gratin végétarien de courge spaghetti à la sauge, cuisiné avec du Thermochef.",4,personnes,4,4,Sans gluten,Entrées,10,15,"1 Courge spaghetti
200 ml Crème de soja
1 tasse Sauge fraîche, hachée
Sel, au goût
Poivre, au goût","Couper la courge spaghetti en deux et retirer les graines.
Cuire la courge dans le Thermochef avec le menu 'pression' dans le panier vapeur, avec 150 ml d'eau, puissance 3, pression 7, pendant 7 min.
Gratter la chair de la courge pour obtenir des 'spaghettis'.
Dans la cuve, disposer la courge.
Verser la crème de soja et parsemer de sauge hachée, saler et poivrer.
Utiliser le menu 'four vapeur' avec pression 5 pour 8 min, puissance 2.",14.85,3.577500000000001,14.85,3.577500000000001,217.4425675,3.15825,3.15825,11.33025,8.475,5.999099999999999,0.115575,0.000375,0.1231,0.115,0.115,0.81505,0.20125,3.40175,0.2875,1.165225,0.0,0.109275,0.0,0.358815,69.60825,272.275,0.137,1.204475,11.5545,36.532875,0.51405,58.22,309.79225,11.55125,142.993,0.564945,0.0,172.92,0.144375,3.013075,8.555000000000001,0.0,3.97625,0.09017499999999999,0.045525,1.8399,0.80055,0.222575,36.212,0.0,
92,Gratin de navets et thym,"Un savoureux gratin de navets parfumé au thym, cuit au Thermochef pour un accompagnement léger et gourmand.",4,personnes,4,3,Sans gluten,Entrées,0,13,"500 g Navets, épluchés et coupés en rondelles fines
200 ml Crème de soja
1 Thym frais, parsemé
Sel, au goût
Poivre, au goût","Éplucher et couper les navets en rondelles fines.
Blanchir les navets dans le Thermochef avec le menu 'pression' dans le panier vapeur, avec 150 ml d’eau, puissance 3, pression 7, pendant 5 min.
Dans la cuve, disposer les navets.
Verser la crème de soja, parsemer de thym, saler et poivrer.
Utiliser le menu 'four vapeur' avec pression 5 pour 8 min, puissance 2.",9.025,2.1625,9.025,2.1625,154.9613175,2.67775,2.67775,7.12,7.514749999999999,5.5516,0.100575,0.000375,0.1006,0.1,0.1,0.80005,1.0375,2.61425,0.25,1.354725,0.0,0.07765,0.0,0.4138775,64.29575,264.25,0.143625,0.996975,10.6795,23.857875,0.2743,80.895,372.90475,11.61375,162.898,0.52282,0.0,39.645,0.125625,2.718575,3.625,0.0,25.12625,0.0609,0.05839999999999999,0.9488999999999999,0.329675,0.1352,30.742,0.0,
93,Mousse de carottes au cumin,"Une délicate mousse de carottes rehaussée de cumin, à la fois douce et parfumée, idéale pour une entrée légère.",4,personnes,2,2,Sans gluten,Entrées,10,3,"500 g Carottes, épluchées et coupées en rondelles
1 cuillère à café Cumin en poudre
100 ml Crème fraîche
Sel, au goût
Poivre, au goût","Éplucher et couper les carottes en rondelles.
Cuire les carottes dans le Thermochef avec le menu 'pression' dans le panier vapeur, avec 150 ml d'eau, puissance 3, pression 7, pendant 3 min.
Mixer les carottes cuites avec le cumin, la crème, le sel et le poivre jusqu'à obtenir une consistance mousseuse.
Servir chaud.",536.1,129.21,536.1,129.21,126.5628675,1.65975,1.64475,10.45475,8.430250000000001,8.17785,1.150575,0.025375,1.4006,0.915,0.275,5.02505,0.55,4.241750000000001,0.625,1.317825,0.0,0.157575,23.7,0.40169,56.36325,248.75,0.0716,0.695225,27.7045,16.792875,0.1799,46.44,325.74225,25.60125,159.3755,0.311695,48.75,10386.08,0.050625,0.483975,4.087,0.0,2.72725,0.04445,0.056675,0.18905,0.31455,0.127525,80.2295,0.03,
94,Mousse de panais au romarin,"Une onctueuse mousse de panais rehaussée de romarin frais, parfaite comme accompagnement.",4,personnes,2,2,Sans gluten,Entrées,5,7,"500 g Panais, épluchés et coupés en rondelles
100 ml Crème fraîche
1 Romarin frais, haché
Sel, au goût
Poivre, au goût","Éplucher et couper les panais en rondelles.
Cuire les panais dans le Thermochef avec le menu 'pression' dans le panier vapeur, avec 150 ml d’eau, puissance 3, pression 7, pendant 7 min.
Mixer les panais cuits avec la crème, le romarin haché, le sel et le poivre jusqu'à obtenir une consistance mousseuse.
Servir chaud.",634.65,152.725,634.65,152.725,118.8425675,2.791,2.776,13.58875,8.34025,6.6666,0.025575,0.025375,0.0256,0.665,0.025,0.02505,0.05,7.04175,1.0125,1.675975,0.0,0.152775,23.7,0.288715,85.25825,177.75,0.17475,1.104475,3.017,41.612875,0.66225,121.22,677.24225,0.8512500000000001,115.4355,0.9859450000000001,48.75,19.77,0.050625,2.504825,28.485,0.0,15.04625,0.1197,0.196275,2.5014,0.83455,0.142575,92.4045,0.03,
95,Soupe de betteraves et orange,Une soupe douce et parfumée associant les betteraves et les saveurs d'orange.,4,personnes,2,2,Sans gluten,Entrées,5,30,"500 g Betteraves, cuites
2 Oranges, jus
1 Oignon, émincé
750 ml Bouillon de légumes
Sel, au goût
Poivre, au goût","Émincer l'oignon.
Faire revenir l'oignon dans le Thermochef avec le menu 'Thermo grill' pendant 5 min.
Ajouter les betteraves coupées en cubes et le jus d'orange.
Verser le bouillon de légumes.
Choisir le menu 'soupe' mode 3 (25 min).
Mixer la soupe jusqu'à obtenir une consistance lisse.
Assaisonner de sel et poivre.",190.0125,45.0375,190.0125,45.0375,380.0225675,3.68325,3.68325,20.2775,1.14875,15.70785,2.363075,0.000375,2.3381,0.275,0.275,3.00005,0.7625,5.701750000000001,0.375,3.717225,0.0,0.871275,0.0,1.61009,86.48325,183.0,0.1554,1.5332725,18.1795,41.482875,0.67155,85.82,611.54225,15.87625,636.9105,0.922695,0.0,46.52,0.000625,0.233575,1.2975,0.0,44.66375,0.2878,0.092525,0.81615,0.34955,0.106825,153.7545,0.0,
96,Soupe de céleri et pomme,"Une délicieuse soupe alliant la fraîcheur de la pomme et la saveur terre du céleri, parfaite pour une entrée légère et savoureuse.",4,personnes,2,2,Sans gluten,Entrées,10,30,"1 Céleri-rave, épluché et coupé en cubes
2 Pommes, coupées en cubes
1 Oignon, émincé
750 ml Bouillon de légumes
Sel, au goût
Poivre, au goût","Éplucher et couper le céleri et les pommes en cubes.
Émincer l'oignon.
Faire revenir l'oignon dans le Thermochef avec le menu 'Thermo grill' pendant 5 min.
Ajouter le céleri, les pommes et le bouillon.
Choisir le menu 'soupe' mode 3 (25 min).
Mixer la soupe jusqu'à obtenir une consistance lisse.
Assaisonner de sel et poivre.",229.0125,54.8625,229.0125,54.8625,403.4225675,3.20325,3.20325,17.55,1.41125,10.97035,5.195575,0.000375,2.2081,0.425,0.425,3.81005,1.0625,8.28925,3.3,4.642225,0.0,0.500275,0.0,1.543115,73.36325,369.75,0.19865,0.7250225,32.7045,30.835375,0.40855,104.495,905.79225,38.12625,609.6605,0.578445,0.0,41.32,0.000625,0.473575,3.44,0.0,9.96875,0.31955,0.107025,0.7194,0.9863000000000001,0.361575,72.3295,0.0,
97,Soupe de choux-fleurs et cumin,Une soupe réconfortante au chou-fleur agrémentée de la saveur distinctive du cumin.,4,personnes,2,2,Sans gluten,Entrées,15,30,"1 Chou-fleur, moyen, coupé en petits bouquets
1 Oignon, émincé
2 Gousses d'ail, émincées
1 cuillère à café Cumin en poudre
750 ml Bouillon de légumes
Sel, au goût
Poivre, au goût","Couper le chou-fleur en petits bouquets.
Émincer l'oignon et l'ail.
Dans le Thermochef, utiliser le menu 'Thermo grill' pour faire revenir l'oignon et l'ail avec le cumin pendant 5 min.
Ajouter le chou-fleur et le bouillon de légumes.
Choisir le menu 'soupe' mode 3 (25 min).
Mixer le velouté jusqu'à obtenir une consistance lisse.
Assaisonner de sel et poivre.",266.3375,63.8375,266.3375,63.8375,381.4173675,4.508150000000001,4.508150000000001,7.32125,1.90525,4.7746,1.930075,0.000375,2.0911,0.503,0.503,0.76055,1.1615,4.75375,0.945,3.536725,0.0,0.168525,0.0,1.44341,57.30325,216.0795,0.0476,1.0784725,40.3545,26.987875,0.3637,89.14,589.6922500000001,38.42625,569.7605,0.507945,0.0,31.03,0.004375,0.183925,6.69275,0.0,8.78475,0.283325,0.051825,0.71305,1.39745,0.456775,115.146,0.0,
98,Soupe de fenouil et aneth,"Une soupe fraîche et parfumée au fenouil et à l'aneth, parfaite pour un repas léger.",4,personnes,3,2,Sans gluten,Entrées,5,30,"2 Bulbes de fenouil, en lamelles
1 Oignon, émincé
2 Gousses d'ail, émincé
750 ml Bouillon de légumes
Aneth frais, haché, au goût
Sel, au goût
Poivre, au goût","Couper le fenouil en lamelles.
Émincer l'oignon et l'ail.
Faire revenir l'oignon et l'ail dans le Thermochef avec le menu 'Thermo grill' pendant 5 min.
Ajouter le fenouil et le bouillon.
Choisir le menu 'soupe' mode 3 (25 min).
Mixer la soupe et ajouter l'aneth haché.
Assaisonner de sel et poivre.",169.2125,40.43,169.2125,40.43,324.3895675,2.324525,2.324525,6.49525,1.12,4.340850000000001,1.680075,0.000375,1.9036,0.378,0.378,0.63555,0.94275,3.870000000000001,0.6325,3.498625,0.0,0.1711,0.0,1.48381,58.29825,266.7045,0.1085,0.5589725,27.90325,20.882875,0.2433,47.29375,482.57975,25.96,585.508,0.331445,0.0,27.8575,0.004375,0.138525,78.9595,0.0,5.071249999999999,0.243175,0.0493,0.35765,0.3262,0.108325,35.671,0.0,
99,Soupe de fenouil et pomme,Une soupe douce et parfumée associant le fenouil et la pomme.,4,personnes,2,2,Sans gluten,Entrées,10,15,"2 Bulbes de fenouil
2 Pommes, en morceaux
1 Oignon, émincé
750 ml Bouillon de légumes
Sel, au goût
Poivre, au goût","Émincez l'oignon.
Coupez le fenouil et les pommes en morceaux.
Faites revenir l'oignon avec l'huile d'olive en mode thermo grill, puissance 3, pendant 5 minutes.
Ajoutez le fenouil, les pommes et le bouillon de légumes.
Fermez le couvercle et réglez sur le menu soupe, mode 3.
Mixez la soupe dans un plat à part pour obtenir une texture lisse.
Assaisonnez avec du sel et du poivre avant de servir.",159.6375,38.1625,159.6375,38.1625,386.3475675,2.38325,2.38325,14.8675,1.28625,11.32035,6.145575,0.000375,3.4081,0.375,0.375,1.66005,0.975,4.78925,0.625,3.864725,0.0,0.505025,0.0,1.484365,59.61325,312.0,0.13365,0.5550225,27.7045,25.085375,0.23355,55.495,555.79225,33.12625,586.1605,0.320945,0.0,43.8325,0.000625,0.393575,80.74,0.0,8.876249999999999,0.2498,0.058025,0.3944,0.3763,0.124075,38.3295,0.0,
