Id,Nom,Catégorie,Description,Préparation,Cuisson,Image,Portions,Difficulté,Coût,Régime,Ingrédients,Instructions,Calories,Glucides,Protéines,Sucres,Lipides,Fibres,Amidon,Calcium,Choléstérol,Cuivre,Fer,Magnésium,Manganèse,Phosphore,Potassium
92,Riz basmati à la courgette et au yaourt,Plats,"Un plat léger et rafraîchissant mêlant la douceur des courgettes avec l'onctuosité du yaourt, idéal pour un repas d'été ou comme accompagnement.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/92.jpg,4,2,2,Riz,"500 g Navets, épluchés et coupés en rondelles fines
200 ml Crème de soja
1 Thym frais, parsemé
Sel, au goût
Poivre, au goût","Éplucher et couper les navets en rondelles fines.
Blanchir les navets dans le Thermochef avec le menu 'pression' dans le panier vapeur, avec 150 ml d’eau, puissance 3, pression 7, pendant 5 min.
Dans la cuve, disposer les navets.
Verser la crème de soja, parsemer de thym, saler et poivrer.
Utiliser le menu 'four vapeur' avec pression 5 pour 8 min, puissance 2.",2.1625,7.12,2.67775,5.5516,7.514749999999999,2.61425,1.0375,64.29575,0.0,0.143625,0.996975,23.857875,0.2743,80.895,372.90475
101,Tajine de poulet aux pruneaux,Entrées,Un plat savoureux et parfumé où le poulet rencontre la douceur des pruneaux et les épices chaudes.,,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/101.jpg,4,3,3,Équilibre acido-basique,"3 Poivrons jaunes, épépinés et coupés en lamelles
1 Oignon, émincé
2 Gousses d'ail, émincées
1 cuillère à café Curry en poudre
750 ml Bouillon de légumes
Sel, au goût
Poivre, au goût","Épépiner les poivrons et les couper en lamelles.
Émincer l'oignon et l'ail.
Faire revenir l'oignon, l'ail et le curry dans le Thermochef avec le menu 'Thermo grill' pendant 5 min.
Ajouter les poivrons et le bouillon.
Choisir le menu 'soupe' mode 1 (10 min).
Mixer la soupe jusqu'à obtenir une consistance lisse.
Assaisonner de sel et poivre.",48.62,8.4934,2.1554,6.4265,0.88875,2.19225,0.8989999999999999,21.82325,0.0,0.09050000000000001,0.5719725,21.557875,0.2498,39.355,327.84225
133,Velouté de courgettes,Entrées,Un velouté de courgettes facile et rapide à préparer avec un Thermochef.,,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/133.jpg,4,1,1,Équilibre acido-basique,"1 botte Asperges vertes
1 Citron, jus et zeste
Sel, au goût
Poivre, au goût
1 cuillère à soupe Huile d'olive","Lavez et coupez les extrémités des asperges.
Programmer le menu thermogrill 10 minutes puissance 3.
Mettre une cuillère d’huile d’olive.
Ajoutez les asperges et les retournez après qu’elles aient commencé à colorer.
Une fois cuites, assaisonnez les asperges avec le zeste et le jus de citron, sel, poivre et un filet d'huile d'olive.",35.25,1.66,1.68075,1.0891,3.528,1.50175,0.0,17.30225,0.0,0.0107,0.697975,9.59075,0.041875,56.14225,197.177
159,Riz noir à la betterave et chèvre,Plats,"Un plat principal visuellement impressionnant et riche en saveurs, mariant la douceur de la betterave, la richesse du fromage de chèvre et la texture unique du riz noir.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/159.jpg,4,3,4,Riz,"500 g Carottes
2 cuillère à soupe Miel
1 cuillère à café Cumin en poudre
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût","Épluchez les carottes et coupez-les en bâtonnets.
Dans un bol, mélangez le miel, le cumin, l'huile d'olive, du sel et du poivre.
Enrobez les carottes avec ce mélange.
Placez les carottes dans la cuve du Thermochef, couvercle ouvert, et réglez sur le menu ""thermo grill"", puissance 3, pour 20 minutes, en les retournant à de temps en temps.
Servez chaud comme accompagnement.",111.71,18.33325,1.00105,15.89185,7.248750000000001,3.491750000000001,0.5,37.9839,0.0,0.07216,0.6973750000000001,15.263425,0.1969,31.0475,307.89325
161,Riz basmati aux petits pois et menthe,Accompagnements,"Un plat frais et léger comprenant du riz basmati enrobé de beurre avec des petits pois cuits et de la menthe fraîche hachée, parfait pour le printemps ou l'été.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/161.jpg,4,1,2,Riz,"4 Courgettes, coupées en rondelles
1 pincée Herbes de Provence
1 pincée Ail en poudre
1 filet Huile d'olive
Sel, au goût
Poivre, au goût","Placez les courgettes dans le panier vapeur du Thermochef.
Ajoutez 2 mesures d'eau au fond de la cuve.
Programmez le Thermochef sur le mode pression, niveau de pression 6, puissance 3 pour 6 minutes.
Assaisonnez avec les herbes de Provence, l'ail, sel, poivre et un filet d'huile d'olive.",35.3925,3.913250000000001,2.56375,3.633925,0.558675,2.288125,0.005,43.482,0.0,0.11085,0.948225,36.411625,0.41325,91.62750000000001,535.84225
171,Curry de légumes,Entrées,"Un savoureux curry de légumes mélangés au lait de coco, relevé avec une patte de curry.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/171.jpg,4,2,2,Équilibre acido-basique,"1 Courgette, coupée en dés
1 Poivron rouge, coupé en dés
1 Citron, jus et zeste
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût
200 g Quinoa","Rincez le quinoa sous l'eau froide.
Coupez la courgette et le poivron en dés.
Placez le quinoa et les légumes dans la cuve du Thermochef.
Ajoutez 400 ml d'eau, le zeste et le jus de citron, l'huile d'olive, du sel et du poivre.
Fermez le couvercle et réglez sur le menu 'riz', mode 1.
Laissez reposer 5 minutes après la cuisson avant de servir.",160.975,17.48375,3.502,3.2816,7.473500000000001,3.782999999999999,12.28125,25.95875,0.0,0.157025,1.13335,49.292375,0.5122,122.1895,338.81175
186,Riz rouge aux épinards et aux noix,Plats,"Un plat nutritif et savoureux combinant la richesse du riz rouge avec la fraîcheur des épinards et le croquant des noix, relevé d'une touche d'huile d'olive pour une gourmandise harmonieuse.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/186.jpg,4,2,3,Riz,"4 Filets de saumon
1 Citron, tranché
1 bouquet Aneth frais, haché
Sel, au goût
Poivre, au goût
300 ml Eau","Assaisonner les filets de saumon avec du sel, du poivre, et de l'aneth haché.
Trancher le citron et disposer les tranches sur les filets.
Placer les filets dans le panier vapeur du Thermochef.
Ajouter 300 ml d'eau dans la cuve.
Utiliser le menu pression, couvercle fermé, pression 6 ou 7, puissance 3. Cuire pendant 10 minutes.
Servir chaud, accompagné de légumes verts ou d'une salade.",324.345,1.26875,35.51125,0.4216,19.11,0.9455000000000001,0.0,65.99575,85.94999999999999,0.127375,1.83385,51.16412500000001,0.6835500000000001,378.8725,750.36725
197,Terrine de poisson aux épinards,Entrées,"Une terrine de poisson moelleuse avec des épinards, préparée au Thermochef.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/197.jpg,6,3,3,Équilibre acido-basique,"400 g Tofu ferme
1 Brocoli
1 Carotte
1 Poivron rouge
2 cuillère à soupe Sauce soja
1 cuillère à soupe Huile de sésame
Sel, au goût
Poivre, au goût","Couper le tofu en cubes et les légumes en morceaux.
Dans un bol, mélanger la sauce soja et l'huile de sésame.
Mariner le tofu dans ce mélange pendant 10 minutes.
Utiliser le menu Thermogrill, couvercle ouvert, puissance 3. Faire sauter le tofu et les légumes pendant environ 10 minutes.
Assaisonner avec du sel et du poivre.
Servir chaud.",200.92,9.037600000000001,20.4717,5.7904,12.74775,6.52915,0.5762499999999999,177.46525,0.0,0.356585,3.846775,145.190875,1.6517,346.59,825.02225
198,Cassoulet,Entrées,"Un plat traditionnel du sud-ouest de la France à base de haricots blancs, de saucisse de Toulouse et de cuisses de canard confites.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/198.jpg,6,4,4,Équilibre acido-basique,"400 g Tofu ferme
1 Courgette, en lanières
1 Poivron rouge, en lanières
2 cuillère à soupe Sauce soja
1 cuillère à soupe Huile de sésame
Sel, au goût
Poivre, au goût","Couper le tofu en tranches et les légumes en lanières.
Dans un bol, mélanger la sauce soja et l'huile de sésame.
Mariner le tofu dans ce mélange pendant 10 minutes.
Utiliser le menu Thermogrill, couvercle ouvert, puissance 3. Griller le tofu et les légumes pendant environ 10 minutes de chaque côté.
Assaisonner avec du sel et du poivre.
Servir chaud.",204.145,6.43885,15.08295,3.3854,12.09525,2.36665,0.52625,114.84025,0.0,0.287835,2.856775,119.840875,1.1292,251.44,391.77225
200,Riz rouge mexicain aux haricots,Plats,"Un plat plein de saveurs mexicaines combinant riz rouge et haricots noirs, parfumé au cumin et au piment, et prêt en quelques étapes simples avec le Thermochef.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/200.jpg,4,2,2,Riz,"200 g Riz basmati
1 Carotte, en petits dés
1 Courgette, en petits dés
1 Poivron rouge, en petits dés
1 Oignon, en petits dés
Sel, au goût
Poivre, au goût
Huile d'olive, au goût","Couper la carotte, la courgette, le poivron et l'oignon en petits dés.
Dans le Thermochef, utiliser le menu Thermogrill, couvercle ouvert, puissance 3. Faire revenir l'oignon avec un peu d'huile d'olive.
Ajouter le riz et les légumes, faire revenir pendant 5 minutes.
Ajouter 1mesure et demi d’eau pour 1 mesure de riz, le sel et le poivre.
Fermer le couvercle, utiliser le menu riz, mode 3.
Servir chaud.",97.575,17.9525,2.77575,4.6516,2.1025,3.05175,12.10625,27.26075,0.0,0.09027500000000001,0.4176475,19.3585,0.310425,57.92375,287.796
202,Riz thaï à l'ananas et au poulet,Plats,"Une combinaison parfaite de riz thaï, de poulet, d'ananas et de légumes, préparée avec des saveurs sucrées, salées et umami.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/202.jpg,4,2,3,Riz,"2 Carottes, coupées en fines lamelles
1 Courgette, coupée en fines lamelles
1 Poivron rouge, coupé en fines lamelles
4 Œufs
200 ml Crème fraîche
1 pincée Herbes de Provence
Sel, au goût
Poivre, au goût","Coupez les légumes en fines lamelles.
Battez les œufs avec la crème, herbes, sel et poivre.
Alternez les couches de légumes et mélange œufs-crème dans un moule à cake.
Cuisez en mode four vapeur, pression 7, 40 min puissance 3.",170.3716666666667,4.4875,6.054666666666666,3.805233333333334,13.8295,2.709666666666667,0.2241666666666667,66.7555,164.2666666666667,0.06018333333333334,1.010983333333333,16.68525,0.1401333333333333,113.4416666666667,254.9781666666667
210,Ratatouille,Entrées,"Un mélange de légumes colorés mijotés, parfait pour un repas santé et savoureux.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/210.jpg,4,2,2,Équilibre acido-basique,"250 g Pois chiches secs
2 Gousses d'ail
1 Citron, jus
2 cuillère à soupe Tahini
375 ml Eau
1 filet Huile d'olive
Sel, au goût
1 pincée Cumin","Mettre les pois chiches dans le Thermochef avec 375 ml d'eau.
Sélectionner le menu Légumes secs, pression 7.
Cuire pendant 40 minutes.
Égoutter et laisser refroidir les pois chiches.
Mixer les pois chiches avec l'ail, le jus de citron, le tahini, un filet d'huile d'olive, le sel et le cumin.",7.907500000000001,31.37825,14.3579,4.272875,7.81825,9.0445,25.00525,82.45075,0.0,0.5774,4.05605,84.829125,1.499875,235.0425,545.86725
216,Quiche aux légumes,Entrées,"Une quiche riche et saine remplie de légumes variés, parfaite pour un repas léger.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/216.jpg,6,3,2,Équilibre acido-basique,"12 Champignons de Paris, gros
1 Échalote
2 Gousses d'ail
Persil haché, au goût
Huile d'olive, au goût
Sel, au goût
Poivre, au goût","Nettoyer les champignons et retirer les pieds.
Hacher finement les pieds des champignons, l'échalote, l'ail et le persil.
Faire revenir le mélange dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Farcir les têtes de champignons avec le mélange.
Placer les champignons farcis dans du Thermochef.
Cuire au mode thermogrill, couvercle fermé, puissance 3, pendant 10 minutes. pression 2",119.8775,10.40625,11.056775,6.878975000000001,2.380375,8.27,0.0535,40.32325,0.0,1.4561,3.231675,51.26475,0.346675,394.16125,1581.471
221,Riz noir aux champignons et à la truffe,Plats,"Un délice gastronomique alliant les saveurs riches et terreuses du riz noir avec la sophistication de la truffe, préparé avec le Thermochef.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/221.jpg,4,4,5,Riz,"4 Grosses tomates
150 g Riz
1 Oignon, finement haché
1 Poivron vert, haché finement
1 Carotte, hachée finement
1 pincée Herbes de Provence
Sel, au goût
Poivre, au goût
Huile d'olive, au goût","Cuire le riz dans le Thermochef en mode Riz, Mode 2.
Couper le haut des tomates et évider l'intérieur.
Hacher finement l'oignon, le poivron et la carotte.
Faire revenir les légumes dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 10 minutes.
Mélanger le riz cuit avec les légumes, le sel, le poivre et les herbes.
Farcir les tomates avec le mélange.
Placer les tomates dans la cuve du Thermochef.
Cuire en mode thermo grill , puissance 3, pendant 12 minutes Pression 3",110.7825,21.27875,3.537,8.045350000000001,2.278,4.1895,10.755,39.67825000000001,0.28125,0.133675,0.6533975,32.0685,0.321675,87.95375,661.346
227,Riz thaï aux noix de cajou et poulet,Plats,"Un plat complet aux saveurs riches et satisfaisantes comprenant du riz thaï, du poulet et des noix de cajou, le tout rehaussé par la sauce soja.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/227.jpg,4,2,3,Riz,"500 g Épinards, frais
400 g Tofu, ferme
1 Oignon
2 Gousses d'ail
700 ml Sauce tomate
Huile d'olive
Sel, au goût
Poivre, au goût
Noix de muscade
250 g Feuilles de lasagne","Faites chauffer 2 l’eau dans la cuve à 80 degrés menu thermodiet couvercle fermé. Mettre cette eau dans un saladier et mettre les plaques de lasagne à tremper pendant 10 minutes.
Hacher l'oignon et l'ail. Émietter le tofu.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter les épinards et cuire jusqu'à ce qu'ils réduisent.
Ajouter le tofu, la noix de muscade, le sel et le poivre.
Monter les lasagnes en alternant couches de sauce tomate, feuilles de lasagne et mélange épinards-tofu.
Cuire dans le Thermochef en mode Four vapeur, puissance 2, pression 5 pendant 8 minutes.",315.5016666666667,25.18266666666667,15.02693333333333,8.13115,28.8675,6.535833333333334,10.97016666666667,206.9488333333333,0.5291666666666667,0.4389166666666666,5.583648333333334,152.9219166666667,2.0672,245.7216666666667,1221.128166666667
245,Riz thaï sauté aux crevettes,Accompagnements,"Un plat thaï classique combinant riz sauté, crevettes, œufs et légumes, préparé avec le Thermochef.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/245.jpg,4,2,3,Riz,"400 g Seitan, en lanières
1 Poivron rouge, émincé
1 Poivron vert, émincé
1 Oignon, émincé
2 Gousses d'ail
1 filet Sauce soja
1 filet Huile d'olive
Sel, au goût
Poivre, au goût","Couper le seitan en lanières.
Émincer les poivrons, l'oignon et l'ail.
Faire revenir le seitan dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter les poivrons, l'oignon, l'ail et un filet de sauce soja.
Cuire 5 minutes supplémentaires.
Assaisonner de sel et de poivre.",167.2775,13.994,24.3404,5.3371,3.0075,3.56125,6.5665,42.57325,0.0,0.30475,2.4264725,59.957875,0.9158,137.2075,465.24225
247,Soupe de pois chiches au cumin,Entrées,"Une délicieuse soupe de pois chiches parfumée au cumin, parfaite pour un repas réconfortant.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/247.jpg,4,2,2,Équilibre acido-basique,"400 g Seitan, coupé en cubes
200 g Champignons de Paris, émincés
2 Carottes, coupées en rondelles
1 Oignon, haché
2 Gousses d'ail, hachées
750 ml Vin rouge
1 pincée Thym
1 feuille Laurier
Sel, au goût
Poivre, au goût","Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter le seitan, les champignons, les carottes, le vin rouge, le thym, le laurier, le sel et le poivre.
Sélectionner le menu Ragoût, pression 6, puissance 3.
Cuire pendant 12 minutes.",312.4775,16.59675,22.494575,5.5286,2.94635,3.112,6.16025,52.06075,0.0,0.428325,3.1589725,43.051625,0.932275,157.555,586.58725
255,Riz complet aux légumes de printemps,Plats,"Un plat sain et coloré parfait pour accueillir la nouvelle saison, alliant riz complet tendre et légumes de printemps.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/255.jpg,4,2,2,Riz,"400 g Seitan, coupé en cubes
1 Poivron rouge, coupé en dés
1 Poivron vert, coupé en dés
1 Oignon, coupé en dés
2 Gousses d'ail, haché
50 g Cacahuètes
4 cuillère à soupe Sauce soja
2 cuillère à soupe Vinaigre de riz
1 cuillère à soupe Sirop d'érable
1 cuillère à café Pâte de piment
1 Huile d'olive, pour la cuisson","Couper le seitan en cubes.
Couper les poivrons et l'oignon en dés.
Hacher l'ail.
Faire revenir le seitan dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter les poivrons, l'oignon, l'ail et les cacahuètes.
Mélanger la sauce soja, le vinaigre de riz, le sirop d'érable et la pâte de piment pour faire la sauce.
Ajouter la sauce et cuire 5 minutes supplémentaires.",388.862,18.80135,26.05635,9.07715,34.308,4.7443,7.093999999999999,50.9715,0.0,0.359345,2.3892475,70.727,1.1313,166.97,482.021
261,Riz complet à la patate douce et cannelle,Plats,"Un plat réconfortant associant la douceur de la patate douce à l'arôme de la cannelle, parfait pour un dîner automnal ou hivernal.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/261.jpg,4,2,2,Riz,"400 g Seitan, en cubes
1 Oignon
2 Gousses d'ail
1 cuillère à soupe Pâte de curry
400 ml Lait de coco
Huile d'olive, au goût
Sel, au goût
Poivre, au goût","Émincer l'oignon et l'ail.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter le seitan et la pâte de curry, cuire 5 minutes.
Verser le lait de coco et cuire en mode ragoût, pression 6, puissance 3, pendant 10 minutes. Assaisonner de sel et de poivre.",150.6425,15.29775,24.3624,8.468225,37.5485,10.52425,6.1315,42.49075000000001,0.28125,0.683375,4.002097500000001,53.47975,2.183425,187.065,495.7085
